product_id,name,category,seller_id,active,unit_cost
1,Produto Laticínios Linha 1,Snacks,31,True,104.39
2,Produto Grãos Linha 2,Carnes,71,True,153.19
3,Produto Enlatados Linha 3,Grãos,9,False,90.57
4,Produto Snacks Linha 4,Bebidas,13,True,158.39
5,Produto Carnes Linha 5,Grãos,58,True,124.43
6,Produto Grãos Linha 6,Snacks,3,True,24.39
7,Produto Higiene Linha 7,Limpeza,35,True,32.95
8,Produto Padaria Linha 8,Limpeza,97,True,88.53
9,Produto Congelados Linha 9,Laticínios,21,True,80.58
10,Produto Laticínios Linha 10,Limpeza,64,True,149.22
11,Produto Laticínios Linha 11,Laticínios,95,True,116.99
12,Produto Snacks Linha 12,Carnes,52,True,78.85
13,Produto Snacks Linha 13,Carnes,34,True,35.81
14,Produto Limpeza Linha 14,Snacks,96,True,46.91
15,Produto Padaria Linha 15,Higiene,35,False,115.95
16,Produto Grãos Linha 16,Enlatados,15,True,85.84
17,Produto Enlatados Linha 17,Carnes,120,True,103.96
18,Produto Enlatados Linha 18,Laticínios,96,True,35.79
19,Produto Bebidas Linha 19,Padaria,6,True,133.26
20,Produto Laticínios Linha 20,Limpeza,109,True,170.8
21,Produto Higiene Linha 21,Higiene,85,True,53.07
22,Produto Higiene Linha 22,Laticínios,97,True,99.32
23,Produto Higiene Linha 23,Limpeza,32,True,195.15
24,Produto Congelados Linha 24,Snacks,52,True,67.98
25,Produto Limpeza Linha 25,Grãos,83,True,119.82
26,Produto Enlatados Linha 26,Bebidas,97,True,19.86
27,Produto Higiene Linha 27,Snacks,28,True,121.99
28,Produto Limpeza Linha 28,Snacks,95,True,19.75
29,Produto Laticínios Linha 29,Enlatados,85,True,191.93
30,Produto Bebidas Linha 30,Carnes,118,True,143.7
31,Produto Laticínios Linha 31,Limpeza,98,True,158.06
32,Produto Grãos Linha 32,Higiene,64,False,141.41
33,Produto Padaria Linha 33,Padaria,79,True,118.77
34,Produto Snacks Linha 34,Congelados,78,True,91.08
35,Produto Grãos Linha 35,Higiene,19,False,171.96
36,Produto Padaria Linha 36,Congelados,107,True,191.45
37,Produto Snacks Linha 37,Bebidas,15,True,100.81
38,Produto Enlatados Linha 38,Grãos,6,True,186.44
39,Produto Higiene Linha 39,Limpeza,116,True,117.5
40,Produto Laticínios Linha 40,Carnes,73,False,108.6
41,Produto Grãos Linha 41,Bebidas,101,True,91.99
42,Produto Congelados Linha 42,Padaria,84,True,43.44
43,Produto Snacks Linha 43,Higiene,98,True,2.74
44,Produto Snacks Linha 44,Higiene,38,True,49.82
45,Produto Enlatados Linha 45,Grãos,26,True,102.93
46,Produto Snacks Linha 46,Enlatados,82,True,77.23
47,Produto Congelados Linha 47,Limpeza,92,True,90.8
48,Produto Enlatados Linha 48,Bebidas,119,True,196.17
49,Produto Bebidas Linha 49,Higiene,51,False,71.35
50,Produto Snacks Linha 50,Grãos,73,True,91.53
51,Produto Laticínios Linha 51,Laticínios,96,True,28.44
52,Produto Snacks Linha 52,Limpeza,53,True,11.5
53,Produto Laticínios Linha 53,Congelados,56,True,155.53
54,Produto Snacks Linha 54,Bebidas,59,True,115.0
55,Produto Laticínios Linha 55,Carnes,70,False,152.62
56,Produto Laticínios Linha 56,Snacks,78,True,31.67
57,Produto Padaria Linha 57,Bebidas,92,True,115.22
58,Produto Limpeza Linha 58,Snacks,58,True,52.22
59,Produto Snacks Linha 59,Bebidas,88,True,47.16
60,Produto Snacks Linha 60,Higiene,13,True,4.28
61,Produto Enlatados Linha 61,Enlatados,43,True,27.81
62,Produto Enlatados Linha 62,Padaria,76,True,63.24
63,Produto Bebidas Linha 63,Grãos,51,True,25.14
64,Produto Limpeza Linha 64,Enlatados,19,True,197.2
65,Produto Grãos Linha 65,Enlatados,21,False,63.11
66,Produto Grãos Linha 66,Bebidas,91,True,27.8
67,Produto Snacks Linha 67,Higiene,83,True,41.42
68,Produto Congelados Linha 68,Enlatados,24,True,118.37
69,Produto Bebidas Linha 69,Limpeza,26,True,14.68
70,Produto Enlatados Linha 70,Limpeza,45,False,172.76
71,Produto Enlatados Linha 71,Congelados,28,True,192.38
72,Produto Bebidas Linha 72,Enlatados,110,True,50.86
73,Produto Padaria Linha 73,Enlatados,120,True,91.12
74,Produto Snacks Linha 74,Limpeza,82,True,6.38
75,Produto Carnes Linha 75,Carnes,108,True,128.86
76,Produto Bebidas Linha 76,Limpeza,100,True,83.96
77,Produto Limpeza Linha 77,Higiene,106,True,55.47
78,Produto Laticínios Linha 78,Congelados,29,True,42.95
79,Produto Higiene Linha 79,Padaria,17,True,131.5
80,Produto Enlatados Linha 80,Grãos,68,True,84.41
81,Produto Bebidas Linha 81,Higiene,44,True,37.57
82,Produto Grãos Linha 82,Higiene,109,True,138.44
83,Produto Higiene Linha 83,Laticínios,61,True,113.88
84,Produto Limpeza Linha 84,Grãos,93,True,172.02
85,Produto Limpeza Linha 85,Laticínios,68,True,25.26
86,Produto Limpeza Linha 86,Limpeza,74,True,157.56
87,Produto Padaria Linha 87,Congelados,25,True,135.36
88,Produto Higiene Linha 88,Laticínios,95,True,24.77
89,Produto Grãos Linha 89,Bebidas,67,True,139.57
90,Produto Bebidas Linha 90,Carnes,111,True,89.43
91,Produto Limpeza Linha 91,Laticínios,2,True,189.11
92,Produto Grãos Linha 92,Padaria,89,True,30.04
93,Produto Higiene Linha 93,Laticínios,49,True,129.28
94,Produto Carnes Linha 94,Carnes,70,True,77.63
95,Produto Padaria Linha 95,Limpeza,26,True,191.45
96,Produto Congelados Linha 96,Laticínios,72,True,67.34
97,Produto Congelados Linha 97,Carnes,99,True,192.51
98,Produto Limpeza Linha 98,Snacks,27,True,180.49
99,Produto Enlatados Linha 99,Padaria,89,True,55.54
100,Produto Limpeza Linha 100,Laticínios,18,True,161.1
101,Produto Carnes Linha 101,Laticínios,54,True,199.13
102,Produto Grãos Linha 102,Bebidas,1,True,52.03
103,Produto Laticínios Linha 103,Bebidas,61,True,88.48
104,Produto Limpeza Linha 104,Limpeza,112,True,105.0
105,Produto Limpeza Linha 105,Snacks,103,True,60.4
106,Produto Snacks Linha 106,Laticínios,3,True,5.02
107,Produto Congelados Linha 107,Carnes,119,True,45.59
108,Produto Padaria Linha 108,Snacks,68,True,57.82
109,Produto Limpeza Linha 109,Grãos,41,True,89.83
110,Produto Higiene Linha 110,Limpeza,37,True,35.88
111,Produto Laticínios Linha 111,Laticínios,51,True,174.9
112,Produto Laticínios Linha 112,Snacks,15,True,141.57
113,Produto Enlatados Linha 113,Laticínios,8,True,18.87
114,Produto Limpeza Linha 114,Bebidas,38,False,130.72
115,Produto Snacks Linha 115,Carnes,114,True,131.42
116,Produto Grãos Linha 116,Padaria,83,True,191.33
117,Produto Carnes Linha 117,Laticínios,56,False,2.6
118,Produto Enlatados Linha 118,Carnes,47,True,51.09
119,Produto Padaria Linha 119,Laticínios,90,True,185.7
120,Produto Higiene Linha 120,Laticínios,103,True,186.56
121,Produto Grãos Linha 121,Bebidas,10,True,144.68
122,Produto Limpeza Linha 122,Enlatados,102,True,153.62
123,Produto Limpeza Linha 123,Padaria,78,True,20.11
124,Produto Grãos Linha 124,Padaria,49,True,103.75
125,Produto Limpeza Linha 125,Bebidas,41,True,47.85
126,Produto Carnes Linha 126,Laticínios,83,True,37.88
127,Produto Carnes Linha 127,Enlatados,30,True,162.44
128,Produto Limpeza Linha 128,Limpeza,5,True,28.74
129,Produto Bebidas Linha 129,Congelados,119,True,94.79
130,Produto Laticínios Linha 130,Padaria,95,True,187.84
131,Produto Padaria Linha 131,Grãos,71,False,38.79
132,Produto Snacks Linha 132,Padaria,83,True,195.64
133,Produto Higiene Linha 133,Grãos,31,True,198.87
134,Produto Congelados Linha 134,Snacks,52,True,112.01
135,Produto Congelados Linha 135,Carnes,103,True,35.69
136,Produto Higiene Linha 136,Grãos,88,True,64.59
137,Produto Congelados Linha 137,Higiene,98,False,86.05
138,Produto Congelados Linha 138,Snacks,23,True,63.25
139,Produto Carnes Linha 139,Bebidas,48,True,57.57
140,Produto Enlatados Linha 140,Grãos,109,True,194.5
141,Produto Snacks Linha 141,Carnes,40,True,32.37
142,Produto Laticínios Linha 142,Congelados,6,True,147.2
143,Produto Padaria Linha 143,Bebidas,38,True,2.08
144,Produto Laticínios Linha 144,Laticínios,41,True,120.04
145,Produto Laticínios Linha 145,Carnes,100,True,183.36
146,Produto Snacks Linha 146,Padaria,27,True,59.01
147,Produto Enlatados Linha 147,Higiene,75,True,38.73
148,Produto Higiene Linha 148,Carnes,69,True,131.03
149,Produto Carnes Linha 149,Congelados,57,True,143.1
150,Produto Limpeza Linha 150,Snacks,17,True,138.23
151,Produto Congelados Linha 151,Padaria,116,True,65.22
152,Produto Limpeza Linha 152,Laticínios,71,False,51.94
153,Produto Enlatados Linha 153,Laticínios,91,True,191.27
154,Produto Carnes Linha 154,Padaria,47,False,184.81
155,Produto Enlatados Linha 155,Carnes,79,True,92.55
156,Produto Laticínios Linha 156,Limpeza,110,False,169.55
157,Produto Higiene Linha 157,Padaria,13,True,91.56
158,Produto Snacks Linha 158,Carnes,11,False,86.03
159,Produto Snacks Linha 159,Enlatados,109,True,33.04
160,Produto Laticínios Linha 160,Snacks,90,True,86.43
161,Produto Limpeza Linha 161,Higiene,86,False,108.41
162,Produto Padaria Linha 162,Snacks,92,True,6.46
163,Produto Grãos Linha 163,Enlatados,24,True,89.93
164,Produto Bebidas Linha 164,Congelados,93,True,156.71
165,Produto Padaria Linha 165,Higiene,73,False,136.65
166,Produto Congelados Linha 166,Padaria,106,True,127.76
167,Produto Carnes Linha 167,Enlatados,4,True,182.09
168,Produto Higiene Linha 168,Higiene,113,True,5.57
169,Produto Bebidas Linha 169,Limpeza,46,True,112.3
